label_name,train_count,val_count,test_count,total_count
Refund_not_showing_up,142,20,40,202
activate_my_card,139,20,40,199
age_limit,105,15,30,150
apple_pay_or_google_pay,116,17,33,166
atm_support,89,13,25,127
automatic_top_up,117,17,33,167
balance_not_updated_after_bank_transfer,148,21,42,211
balance_not_updated_after_cheque_or_cash_deposit,155,22,44,221
beneficiary_not_allowed,137,20,39,196
cancel_transfer,138,20,39,197
card_about_to_expire,118,17,34,169
card_acceptance,69,10,20,99
card_arrival,135,19,39,193
card_delivery_estimate,107,15,30,152
card_linking,125,18,36,179
card_not_working,107,15,30,152
card_payment_fee_charged,158,23,46,227
card_payment_not_recognised,145,21,42,208
card_payment_wrong_exchange_rate,145,21,41,207
card_swallowed,71,10,20,101
cash_withdrawal_charge,151,22,44,217
cash_withdrawal_not_recognised,140,20,40,200
change_pin,114,16,32,162
compromised_card,88,13,25,126
contactless_not_working,53,7,15,75
country_support,118,17,34,169
declined_card_payment,135,19,39,193
declined_cash_withdrawal,149,21,43,213
declined_transfer,121,17,35,173
direct_debit_payment_not_recognised,155,22,45,222
disposable_card_limits,113,16,32,161
edit_personal_details,113,16,32,161
exchange_charge,113,16,32,161
exchange_rate,107,15,30,152
exchange_via_app,110,16,32,158
extra_charge_on_statement,144,21,41,206
failed_transfer,124,18,35,177
fiat_currency_support,116,17,33,166
get_disposable_virtual_card,96,14,27,137
get_physical_card,102,15,29,146
getting_spare_card,118,17,34,169
getting_virtual_card,96,14,28,138
lost_or_stolen_card,86,12,24,122
lost_or_stolen_phone,113,16,32,161
order_physical_card,112,16,32,160
passcode_forgotten,102,14,29,145
pending_card_payment,139,20,40,199
pending_cash_withdrawal,128,18,37,183
pending_top_up,132,19,38,189
pending_transfer,131,19,38,188
pin_blocked,109,15,31,155
receiving_money,95,13,27,135
request_refund,146,21,42,209
reverted_card_payment?,141,20,40,201
supported_cards_and_currencies,118,17,34,169
terminate_account,103,15,30,148
top_up_by_bank_transfer_charge,106,15,30,151
top_up_by_card_charge,108,15,31,154
top_up_by_cash_or_cheque,108,15,31,154
top_up_failed,129,19,37,185
top_up_limits,96,14,27,137
top_up_reverted,130,19,37,186
topping_up_by_card,100,14,29,143
transaction_charged_twice,150,22,43,215
transfer_fee_charged,149,21,42,212
transfer_into_account,107,15,31,153
transfer_not_received_by_recipient,148,21,42,211
transfer_timing,117,17,34,168
unable_to_verify_identity,100,14,28,142
verify_my_identity,101,14,29,144
verify_source_of_funds,107,15,31,153
verify_top_up,116,17,33,166
virtual_card_not_working,57,8,16,81
visa_or_mastercard,122,18,35,175
why_verify_identity,113,16,32,161
wrong_amount_of_cash_received,154,22,44,220
wrong_exchange_rate_for_cash_withdrawal,142,20,41,203
