label_name,train_count,val_count,test_count,total_count
Refund_not_showing_up,36,4,40,80
activate_my_card,36,4,40,80
age_limit,36,4,40,80
apple_pay_or_google_pay,36,4,40,80
atm_support,36,4,40,80
automatic_top_up,36,4,40,80
balance_not_updated_after_bank_transfer,36,4,40,80
balance_not_updated_after_cheque_or_cash_deposit,36,4,40,80
beneficiary_not_allowed,36,4,40,80
cancel_transfer,36,4,40,80
card_about_to_expire,36,4,40,80
card_acceptance,36,4,40,80
card_arrival,36,4,40,80
card_delivery_estimate,36,4,40,80
card_linking,36,4,40,80
card_not_working,36,4,40,80
card_payment_fee_charged,36,4,40,80
card_payment_not_recognised,36,4,40,80
card_payment_wrong_exchange_rate,36,4,40,80
card_swallowed,36,4,40,80
cash_withdrawal_charge,36,4,40,80
cash_withdrawal_not_recognised,36,4,40,80
change_pin,36,4,40,80
compromised_card,36,4,40,80
contactless_not_working,31,4,40,75
country_support,36,4,40,80
declined_card_payment,36,4,40,80
declined_cash_withdrawal,36,4,40,80
declined_transfer,36,4,40,80
direct_debit_payment_not_recognised,36,4,40,80
disposable_card_limits,36,4,40,80
edit_personal_details,36,4,40,80
exchange_charge,36,4,40,80
exchange_rate,36,4,40,80
exchange_via_app,36,4,40,80
extra_charge_on_statement,36,4,40,80
failed_transfer,36,4,40,80
fiat_currency_support,36,4,40,80
get_disposable_virtual_card,36,4,40,80
get_physical_card,36,4,40,80
getting_spare_card,36,4,40,80
getting_virtual_card,36,4,40,80
lost_or_stolen_card,36,4,40,80
lost_or_stolen_phone,36,4,40,80
order_physical_card,36,4,40,80
passcode_forgotten,36,4,40,80
pending_card_payment,36,4,40,80
pending_cash_withdrawal,36,4,40,80
pending_top_up,36,4,40,80
pending_transfer,36,4,40,80
pin_blocked,36,4,40,80
receiving_money,36,4,40,80
request_refund,36,4,40,80
reverted_card_payment?,36,4,40,80
supported_cards_and_currencies,36,4,40,80
terminate_account,36,4,40,80
top_up_by_bank_transfer_charge,36,4,40,80
top_up_by_card_charge,36,4,40,80
top_up_by_cash_or_cheque,36,4,40,80
top_up_failed,36,4,40,80
top_up_limits,36,4,40,80
top_up_reverted,36,4,40,80
topping_up_by_card,36,4,40,80
transaction_charged_twice,36,4,40,80
transfer_fee_charged,36,4,40,80
transfer_into_account,36,4,40,80
transfer_not_received_by_recipient,36,4,40,80
transfer_timing,36,4,40,80
unable_to_verify_identity,36,4,40,80
verify_my_identity,36,4,40,80
verify_source_of_funds,36,4,40,80
verify_top_up,36,4,40,80
virtual_card_not_working,36,4,40,80
visa_or_mastercard,36,4,40,80
why_verify_identity,36,4,40,80
wrong_amount_of_cash_received,36,4,40,80
wrong_exchange_rate_for_cash_withdrawal,36,4,40,80
