label_name,train_count,val_count,test_count,total_count
Refund_not_showing_up,146,16,40,202
activate_my_card,143,16,40,199
age_limit,99,11,40,150
apple_pay_or_google_pay,113,13,40,166
atm_support,78,9,40,127
automatic_top_up,114,13,40,167
balance_not_updated_after_bank_transfer,154,17,40,211
balance_not_updated_after_cheque_or_cash_deposit,163,18,40,221
beneficiary_not_allowed,140,16,40,196
cancel_transfer,141,16,40,197
card_about_to_expire,116,13,40,169
card_acceptance,53,6,40,99
card_arrival,138,15,40,193
card_delivery_estimate,101,11,40,152
card_linking,125,14,40,179
card_not_working,101,11,40,152
card_payment_fee_charged,168,19,40,227
card_payment_not_recognised,151,17,40,208
card_payment_wrong_exchange_rate,150,17,40,207
card_swallowed,55,6,40,101
cash_withdrawal_charge,159,18,40,217
cash_withdrawal_not_recognised,144,16,40,200
change_pin,110,12,40,162
compromised_card,77,9,40,126
contactless_not_working,32,3,40,75
country_support,116,13,40,169
declined_card_payment,138,15,40,193
declined_cash_withdrawal,156,17,40,213
declined_transfer,120,13,40,173
direct_debit_payment_not_recognised,164,18,40,222
disposable_card_limits,109,12,40,161
edit_personal_details,109,12,40,161
exchange_charge,109,12,40,161
exchange_rate,101,11,40,152
exchange_via_app,106,12,40,158
extra_charge_on_statement,149,17,40,206
failed_transfer,123,14,40,177
fiat_currency_support,113,13,40,166
get_disposable_virtual_card,87,10,40,137
get_physical_card,95,11,40,146
getting_spare_card,116,13,40,169
getting_virtual_card,88,10,40,138
lost_or_stolen_card,74,8,40,122
lost_or_stolen_phone,109,12,40,161
order_physical_card,108,12,40,160
passcode_forgotten,95,10,40,145
pending_card_payment,143,16,40,199
pending_cash_withdrawal,129,14,40,183
pending_top_up,134,15,40,189
pending_transfer,133,15,40,188
pin_blocked,104,11,40,155
receiving_money,86,9,40,135
request_refund,152,17,40,209
reverted_card_payment?,145,16,40,201
supported_cards_and_currencies,116,13,40,169
terminate_account,97,11,40,148
top_up_by_bank_transfer_charge,100,11,40,151
top_up_by_card_charge,103,11,40,154
top_up_by_cash_or_cheque,103,11,40,154
top_up_failed,130,15,40,185
top_up_limits,87,10,40,137
top_up_reverted,131,15,40,186
topping_up_by_card,93,10,40,143
transaction_charged_twice,157,18,40,215
transfer_fee_charged,155,17,40,212
transfer_into_account,102,11,40,153
transfer_not_received_by_recipient,154,17,40,211
transfer_timing,115,13,40,168
unable_to_verify_identity,92,10,40,142
verify_my_identity,94,10,40,144
verify_source_of_funds,102,11,40,153
verify_top_up,113,13,40,166
virtual_card_not_working,37,4,40,81
visa_or_mastercard,121,14,40,175
why_verify_identity,109,12,40,161
wrong_amount_of_cash_received,162,18,40,220
wrong_exchange_rate_for_cash_withdrawal,147,16,40,203
