===== UNSLOTH TRAINING CONFIG =====
Model: unsloth/Qwen2.5-7B
Epochs: 4
Batch size: 2
Gradient accumulation steps: 8
Learning rate: 0.0002
Max sequence length: 512
Load in 4bit: True
Started at (UTC): 2026-05-01 22:10:00.560536+00:00
Finished at (UTC): 2026-05-02 00:10:29.634665+00:00

===== TRAIN LOG HISTORY =====
step=10 | epoch=0.01777382803821373 | loss=2.79012393951416 | lr=1.0650887573964498e-05
step=20 | epoch=0.03554765607642746 | loss=2.7457786560058595 | lr=2.2485207100591717e-05
step=30 | epoch=0.05332148411464119 | loss=2.401410675048828 | lr=3.431952662721893e-05
step=40 | epoch=0.07109531215285492 | loss=1.5458144187927245 | lr=4.615384615384616e-05
step=50 | epoch=0.08886914019106865 | loss=0.40229411125183107 | lr=5.798816568047337e-05
step=60 | epoch=0.10664296822928238 | loss=0.10306246280670166 | lr=6.98224852071006e-05
step=70 | epoch=0.12441679626749612 | loss=0.08624901175498963 | lr=8.165680473372781e-05
step=80 | epoch=0.14219062430570983 | loss=0.08644418120384216 | lr=9.349112426035503e-05
step=90 | epoch=0.15996445234392356 | loss=0.08217661380767823 | lr=0.00010532544378698226
step=100 | epoch=0.1777382803821373 | loss=0.0834549069404602 | lr=0.00011715976331360947
step=110 | epoch=0.19551210842035102 | loss=0.08431094288825988 | lr=0.00012899408284023668
step=120 | epoch=0.21328593645856475 | loss=0.08333703279495239 | lr=0.0001408284023668639
step=130 | epoch=0.23105976449677848 | loss=0.0832377552986145 | lr=0.00015266272189349113
step=140 | epoch=0.24883359253499224 | loss=0.08328327536582947 | lr=0.00016449704142011836
step=150 | epoch=0.26660742057320597 | loss=0.07828736305236816 | lr=0.00017633136094674556
step=160 | epoch=0.28438124861141967 | loss=0.08393979668617249 | lr=0.00018816568047337278
step=170 | epoch=0.3021550766496334 | loss=0.0783157229423523 | lr=0.0002
step=180 | epoch=0.3199289046878471 | loss=0.08095538020133972 | lr=0.00019903984637542008
step=190 | epoch=0.3377027327260609 | loss=0.08329331874847412 | lr=0.00019807969275084016
step=200 | epoch=0.3554765607642746 | loss=0.08135665059089661 | lr=0.00019711953912626023
step=210 | epoch=0.37325038880248834 | loss=0.07525457739830017 | lr=0.00019615938550168028
step=220 | epoch=0.39102421684070204 | loss=0.08210304379463196 | lr=0.00019519923187710035
step=230 | epoch=0.4087980448789158 | loss=0.07593176364898682 | lr=0.00019423907825252043
step=240 | epoch=0.4265718729171295 | loss=0.08221122026443481 | lr=0.00019327892462794047
step=250 | epoch=0.44434570095534326 | loss=0.07962514758110047 | lr=0.00019231877100336055
step=260 | epoch=0.46211952899355696 | loss=0.07237203717231751 | lr=0.00019135861737878062
step=270 | epoch=0.4798933570317707 | loss=0.08216636776924133 | lr=0.00019039846375420067
step=280 | epoch=0.4976671850699845 | loss=0.07539222836494446 | lr=0.00018943831012962074
step=290 | epoch=0.5154410131081982 | loss=0.07373543381690979 | lr=0.0001884781565050408
step=300 | epoch=0.5332148411464119 | loss=0.07450605630874634 | lr=0.0001875180028804609
step=310 | epoch=0.5509886691846256 | loss=0.07558818459510804 | lr=0.00018655784925588096
step=320 | epoch=0.5687624972228393 | loss=0.07820334434509277 | lr=0.00018559769563130103
step=330 | epoch=0.5865363252610531 | loss=0.07244011163711547 | lr=0.00018463754200672108
step=340 | epoch=0.6043101532992669 | loss=0.07529954314231872 | lr=0.00018367738838214116
step=350 | epoch=0.6220839813374806 | loss=0.07540807723999024 | lr=0.00018271723475756123
step=360 | epoch=0.6398578093756943 | loss=0.07754173278808593 | lr=0.00018175708113298128
step=370 | epoch=0.6576316374139081 | loss=0.07756212949752808 | lr=0.00018079692750840135
step=380 | epoch=0.6754054654521218 | loss=0.08212842941284179 | lr=0.00017983677388382142
step=390 | epoch=0.6931792934903355 | loss=0.06782293915748597 | lr=0.00017887662025924147
step=400 | epoch=0.7109531215285492 | loss=0.07693680524826049 | lr=0.00017791646663466154
step=410 | epoch=0.728726949566763 | loss=0.07066954970359803 | lr=0.00017695631301008162
step=420 | epoch=0.7465007776049767 | loss=0.06985384821891785 | lr=0.0001759961593855017
step=430 | epoch=0.7642746056431904 | loss=0.07286385297775269 | lr=0.00017503600576092176
step=440 | epoch=0.7820484336814041 | loss=0.07188009023666382 | lr=0.00017407585213634184
step=450 | epoch=0.7998222617196179 | loss=0.06753540635108948 | lr=0.00017311569851176189
step=460 | epoch=0.8175960897578316 | loss=0.06685724258422851 | lr=0.00017215554488718196
step=470 | epoch=0.8353699177960453 | loss=0.08081856966018677 | lr=0.00017119539126260203
step=480 | epoch=0.853143745834259 | loss=0.07199662327766418 | lr=0.0001702352376380221
step=490 | epoch=0.8709175738724728 | loss=0.07122206091880798 | lr=0.00016927508401344215
step=500 | epoch=0.8886914019106865 | loss=0.06788520216941833 | lr=0.00016831493038886223
step=510 | epoch=0.9064652299489002 | loss=0.06495549082756043 | lr=0.00016735477676428227
step=520 | epoch=0.9242390579871139 | loss=0.06903638243675232 | lr=0.00016639462313970235
step=530 | epoch=0.9420128860253277 | loss=0.07179474234580993 | lr=0.00016543446951512242
step=540 | epoch=0.9597867140635414 | loss=0.06806724667549133 | lr=0.0001644743158905425
step=550 | epoch=0.9775605421017551 | loss=0.06927459239959717 | lr=0.00016351416226596257
step=560 | epoch=0.995334370139969 | loss=0.0752285897731781 | lr=0.00016255400864138264
step=563 | epoch=1.0 | eval_loss=0.06832252442836761
step=570 | epoch=1.0124416796267497 | loss=0.07162467837333679 | lr=0.0001615938550168027
step=580 | epoch=1.0302155076649633 | loss=0.06493775844573975 | lr=0.00016063370139222276
step=590 | epoch=1.047989335703177 | loss=0.0746222972869873 | lr=0.00015967354776764284
step=600 | epoch=1.0657631637413907 | loss=0.06689452528953552 | lr=0.0001587133941430629
step=610 | epoch=1.0835369917796045 | loss=0.07313365936279297 | lr=0.00015775324051848296
step=620 | epoch=1.1013108198178183 | loss=0.0753225564956665 | lr=0.00015679308689390303
step=630 | epoch=1.119084647856032 | loss=0.06713141798973084 | lr=0.00015583293326932308
step=640 | epoch=1.1368584758942457 | loss=0.06775957942008973 | lr=0.00015487277964474315
step=650 | epoch=1.1546323039324595 | loss=0.06905337572097778 | lr=0.00015391262602016322
step=660 | epoch=1.1724061319706731 | loss=0.07288629412651063 | lr=0.0001529524723955833
step=670 | epoch=1.190179960008887 | loss=0.06554551124572754 | lr=0.00015199231877100337
step=680 | epoch=1.2079537880471007 | loss=0.07037450075149536 | lr=0.00015103216514642345
step=690 | epoch=1.2257276160853143 | loss=0.07013756036758423 | lr=0.0001500720115218435
step=700 | epoch=1.2435014441235281 | loss=0.06922995448112487 | lr=0.00014911185789726357
step=710 | epoch=1.261275272161742 | loss=0.06767907738685608 | lr=0.00014815170427268364
step=720 | epoch=1.2790491001999555 | loss=0.07055761814117431 | lr=0.00014719155064810371
step=730 | epoch=1.2968229282381694 | loss=0.0674077332019806 | lr=0.0001462313970235238
step=740 | epoch=1.314596756276383 | loss=0.06907407641410827 | lr=0.00014527124339894383
step=750 | epoch=1.3323705843145968 | loss=0.05974102020263672 | lr=0.00014431108977436388
step=760 | epoch=1.3501444123528104 | loss=0.06852266788482667 | lr=0.00014335093614978395
step=770 | epoch=1.3679182403910242 | loss=0.06386142373085021 | lr=0.00014239078252520403
step=780 | epoch=1.385692068429238 | loss=0.06776095628738403 | lr=0.0001414306289006241
step=790 | epoch=1.4034658964674516 | loss=0.07325748801231384 | lr=0.00014047047527604418
step=800 | epoch=1.4212397245056654 | loss=0.07117857933044433 | lr=0.00013951032165146425
step=810 | epoch=1.4390135525438792 | loss=0.07398046255111694 | lr=0.0001385501680268843
step=820 | epoch=1.4567873805820928 | loss=0.06956926584243775 | lr=0.00013759001440230437
step=830 | epoch=1.4745612086203066 | loss=0.06381200551986695 | lr=0.00013662986077772444
step=840 | epoch=1.4923350366585204 | loss=0.06461189985275269 | lr=0.00013566970715314452
step=850 | epoch=1.510108864696734 | loss=0.06853451132774353 | lr=0.0001347095535285646
step=860 | epoch=1.5278826927349478 | loss=0.07013922929763794 | lr=0.00013374939990398464
step=870 | epoch=1.5456565207731616 | loss=0.06934869289398193 | lr=0.0001327892462794047
step=880 | epoch=1.5634303488113752 | loss=0.06639302968978882 | lr=0.00013182909265482476
step=890 | epoch=1.581204176849589 | loss=0.063141131401062 | lr=0.00013086893903024483
step=900 | epoch=1.5989780048878028 | loss=0.06655859351158142 | lr=0.0001299087854056649
step=910 | epoch=1.6167518329260164 | loss=0.06719474792480469 | lr=0.00012894863178108498
step=920 | epoch=1.63452566096423 | loss=0.06441817283630372 | lr=0.00012798847815650505
step=930 | epoch=1.652299489002444 | loss=0.059005022048950195 | lr=0.00012702832453192513
step=940 | epoch=1.6700733170406576 | loss=0.0673269808292389 | lr=0.00012606817090734517
step=950 | epoch=1.6878471450788712 | loss=0.0661941111087799 | lr=0.00012510801728276525
